category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	p_adjust_over_represented	p_adjust_under_represented
00010	2.05063769651964e-05	0.999996086029403	14	47	0.00260430987457994	1
01100	8.20276325580606e-05	0.99995598707739	96	871	0.00520875466743685	1
00030	0.00129899817681093	0.99979600866272	7	22	0.0549909228183292	1
00480	0.00189406497047765	0.999479863524906	11	59	0.0601365628126655	1
00280	0.00345052107027385	0.999229042502585	8	32	0.0876432351849558	1
00071	0.0075391595984672	0.99827538285175	7	28	0.159578878167556	1
04512	0.0110380007219384	0.998813977208514	4	8	0.173710218311612	1
00531	0.0112267509693519	0.99810306548731	5	15	0.173710218311612	1
00982	0.0123101729512166	0.996065309367046	9	59	0.173710218311612	1
00051	0.0178294534064531	0.995607092933838	6	29	0.226434058261954	1
00260	0.0230401612822423	0.994064574344129	6	26	0.266009134804071	1
00980	0.0305942726510014	0.989235432758276	8	58	0.316592028967278	1
00460	0.0324070580832647	0.998753929516786	2	3	0.316592028967278	1
00640	0.0389660882448696	0.990107768387893	5	22	0.353478086221317	1
04145	0.0521597340328695	0.978456657294022	9	58	0.419530449450227	1
00520	0.0528542298519971	0.981124279577642	7	39	0.419530449450227	1
00410	0.0623369734003053	0.984993161833668	4	17	0.465693860108163	1
00500	0.0880797804006695	0.961657057249273	8	53	0.597656477547492	1
00270	0.0894131738063177	0.974671534481826	4	23	0.597656477547492	1
00300	0.0943835380930748	1	1	1	0.599335466891025	1
00620	0.118563871408223	0.951758339254532	6	41	0.710443650950181	1
00604	0.123068978904756	0.982271804885557	2	6	0.710443650950181	1
00730	0.141215466892398	0.992935686077453	1	3	0.749890563476522	1
00591	0.155408248892616	0.970747858703906	2	10	0.749890563476522	1
04320	0.156911076125763	0.938599473246093	5	25	0.749890563476522	1
00052	0.157582217807075	0.944592654882764	4	26	0.749890563476522	1
01040	0.168010441311701	0.951414085319941	3	16	0.749890563476522	1
00770	0.170703497622687	0.967367266537748	2	8	0.749890563476522	1
00232	0.171234853077316	0.992007678747248	1	2	0.749890563476522	1
00100	0.181666372881708	0.990949569361509	1	2	0.750744483773416	1
00910	0.183252590527369	0.943510979118551	3	20	0.750744483773416	1
00983	0.204533277200739	0.895495338602458	7	55	0.811741443890432	1
00670	0.222274057213346	0.946810559409875	2	11	0.855418341396815	1
00903	0.229802003574289	0.872557004607577	8	68	0.85837807217455	1
00590	0.239644854204653	0.938507161047243	2	13	0.86956847097117	1
03410	0.252051972377262	0.932618208811596	2	14	0.871256157316148	1
00190	0.25383053402124	0.853206305696453	8	124	0.871256157316148	1
00750	0.261082281456408	0.969549857885029	1	5	0.872564466972733	1
00920	0.295443753693498	0.962591427884074	1	4	0.928895796692941	1
00290	0.295471601321386	0.915665721287503	2	10	0.928895796692941	1
03050	0.29987974538906	0.859153288100886	4	48	0.928895796692941	1
00400	0.320623297261541	0.955338908110923	1	4	0.969503779814659	1
00592	0.343357453039234	0.886684441251179	2	14	1	1
03420	0.366847508563674	0.835435368580639	3	30	1	1
00062	0.381137763552008	0.926604599903154	1	7	1	1
03010	0.382597951498093	0.797513574850894	4	79	1	1
04150	0.394363074984278	0.819570184110857	3	21	1	1
03060	0.398062751718612	0.849499914120836	2	21	1	1
00240	0.399660353581975	0.756708033096023	6	72	1	1
00564	0.408523889439522	0.751442642109776	6	53	1	1
04141	0.411454998181063	0.710402468096073	11	111	1	1
00860	0.413359721047271	0.777252397391612	4	40	1	1
04142	0.438245658805135	0.705421033973039	8	80	1	1
00250	0.465524021371835	0.762429327767906	3	26	1	1
00430	0.467601726667417	0.886773583347958	1	6	1	1
03450	0.470627711401717	0.885095838170966	1	6	1	1
00650	0.473058612950661	0.798114329756032	2	18	1	1
00603	0.486877488690637	0.872911179035803	1	7	1	1
00330	0.493514991100664	0.689639796415922	5	54	1	1
00512	0.497105776887201	0.782111681331291	2	15	1	1
00340	0.523625304012277	0.849667048753457	1	7	1	1
00561	0.542358298429818	0.664060751687667	4	43	1	1
00360	0.560160017404145	0.817119597286859	1	10	1	1
00532	0.561119194843303	0.820319390379081	1	8	1	1
00740	0.568546288041186	0.809146919299997	1	11	1	1
00040	0.57499521331074	0.660415455812497	3	37	1	1
04711	0.585369513399806	0.804398715802822	1	7	1	1
04013	0.589378548752228	0.69954595482346	2	17	1	1
00565	0.589393623204177	0.695531788195978	2	22	1	1
02010	0.59461237253911	0.796888074208755	1	7	1	1
04146	0.600243649128969	0.584609995107775	5	62	1	1
03022	0.606640574266943	0.675325266568537	2	29	1	1
00511	0.634291833832768	0.651764296243272	2	20	1	1
03030	0.637252637442315	0.643694975411719	2	29	1	1
00230	0.646007851505715	0.490769772443571	9	111	1	1
00900	0.647206415546863	0.737799259945581	1	12	1	1
00053	0.696518293940891	0.577231580437086	2	28	1	1
00600	0.706734819010109	0.566379669162046	2	25	1	1
04140	0.710595298539055	0.667100189116462	1	13	1	1
00310	0.717160225220688	0.553532202561158	2	25	1	1
