GeneID	Base mean	log2(FC)	StdErr	Wald-Stats	P-value	P-adj	Chromosome	Start	End	Strand	Feature	Gene symbol
FBgn0026562	43868.5455480573	-2.38258550933706	0.0835077530164293	-28.5313090494521	4.79184498083866e-179	4.14542509292353e-175	chr3R	26869237	26871995	-	protein_coding	SPARC
FBgn0039155	735.939136596636	-4.07673915276776	0.144658206554904	-28.181872635207	9.75415345422195e-175	2.81277271774914e-171	chr3R	24141394	24147490	+	protein_coding	Kal1
FBgn0003360	4392.7577141093	-2.99541328088802	0.106242687607487	-28.1940653831589	6.9141699288206e-175	2.81277271774914e-171	chrX	10780892	10786958	-	protein_coding	sesB
FBgn0025111	1508.08707143002	2.68042910186253	0.099207136080145	27.0185110443782	8.95804188302324e-161	1.93740050825085e-157	chrX	10778953	10786907	-	protein_coding	Ant2
FBgn0029167	3663.82173154691	-2.11127790702353	0.0911561146615792	-23.1611221568815	1.12314096444064e-118	1.9432584966752e-115	chr3L	13846053	13860001	+	protein_coding	Hml
FBgn0039827	265.07817718924	-3.37077872357191	0.169760982683465	-19.8560273997533	9.77430176331634e-88	1.40929140924083e-84	chr3R	31196915	31203722	+	protein_coding	CG1544
FBgn0035085	644.366837429722	-2.41866196068958	0.121920374069642	-19.8380457667233	1.39787772568694e-87	1.72757717213111e-84	chr2R	24945138	24946636	+	protein_coding	CG3770
FBgn0264475	650.947679886028	-2.31430541289206	0.131222216403978	-17.6365365279861	1.29137496904249e-69	1.39646060714832e-66	chr3L	820758	821512	+	ncRNA	lncRNA:CR43883
FBgn0034736	222.308995848072	-2.92764639514529	0.171217237693576	-17.0990166328045	1.50929453601265e-65	1.45076744789394e-62	chr2R	22550093	22552113	+	protein_coding	gas
FBgn0000071	322.085805028094	2.33703761146098	0.144129509331491	16.214844706686	3.96077464531115e-59	3.42646614565868e-56	chr3R	6762592	6765261	+	protein_coding	Ama
FBgn0029896	477.291034028138	-2.17487750673568	0.137600182401654	-15.8057748818038	2.83878209888722e-56	2.23257308522485e-53	chrX	6720003	6739986	-	protein_coding	CG3168
FBgn0038832	290.155365602645	-2.28368100872467	0.166860088972869	-13.6862027509526	1.22758916741899e-42	8.84989490611805e-40	chr3R	20842139	20844981	+	protein_coding	CG15695
FBgn0027279	2946.64213921217	-1.16271501714925	0.0860266829807389	-13.5157485661696	1.2626478979868e-41	8.40243612729521e-39	chrX	22487179	22508129	+	protein_coding	l(1)G0196
FBgn0035189	207.86310008807	2.35980894625701	0.182341770447616	12.9416805620791	2.61838347773349e-38	1.61797396184803e-35	chr3L	1203315	1204795	-	protein_coding	CG9119
FBgn0001226	1188.39103759586	1.55762778375602	0.12353057265874	12.6092492751495	1.87773097568514e-36	1.08295004471015e-33	chr3L	9384062	9385694	+	protein_coding	Hsp27
FBgn0040091	1090.94411316351	-1.46340236259314	0.116292387273858	-12.5838190865148	2.59189820638117e-36	1.40140696146272e-33	chr2R	22641785	22643917	-	protein_coding	Ugt317A1
FBgn0040099	858.740248668437	-1.63621388914341	0.130126191344928	-12.5740550171508	2.93286226412808e-36	1.49248184982189e-33	chr2L	7857076	7860120	+	protein_coding	lectin-28C
FBgn0023479	3098.55704032873	-1.43342729235705	0.11546116870425	-12.4147997845815	2.17229592580814e-35	1.04402955856479e-32	chr3L	9074642	9092131	+	protein_coding	teq
FBgn0264753	114.967338028304	-2.43100722146999	0.196404163160378	-12.3775748046893	3.4562961236646e-35	1.57370619820118e-32	chr2R	19311147	19356525	-	protein_coding	Rgk1
FBgn0011260	196.142303063605	1.93658319418582	0.157095165005616	12.3274525611058	6.44522385552006e-35	2.7878815787052e-32	chr2R	16500177	16533459	+	protein_coding	Sema2a
FBgn0039419	1812.12278905736	-1.11686537542232	0.0911865110231058	-12.2481424378581	1.71887948781382e-34	7.08096497575114e-32	chr3R	26230247	26234700	+	protein_coding	CG12290
FBgn0262733	371.009528424049	1.82609456121458	0.153894481433428	11.8658872248418	1.78005405773467e-32	6.99965802430121e-30	chr3L	4592446	4626196	-	protein_coding	Src64B
FBgn0261552	6035.53705762537	-1.61727212684718	0.137062118915691	-11.7995558484105	3.92376971958915e-32	1.4758492106159e-29	chr3R	9417939	9455500	+	protein_coding	ps
FBgn0033913	5118.11723962841	-1.12623467697919	0.0968989519864751	-11.6227745903422	3.15713555618914e-31	1.13801582069135e-28	chr2R	14219897	14230620	+	protein_coding	CG8468
FBgn0037754	218.39337298169	-1.96113623876869	0.170096225266539	-11.5295694286902	9.36107116677427e-31	3.23930506655057e-28	chr3R	9784652	9789323	+	protein_coding	CG8500
FBgn0085359	68.0989508465214	-2.60558405714624	0.226820003556695	-11.4874526774045	1.52543873887187e-30	5.07560404999253e-28	chrX	19068274	19068973	-	protein_coding	CG34330
FBgn0024288	58.8431949734756	-2.5514662797442	0.224457939275625	-11.367235607608	6.08854310776567e-30	1.95081431204744e-27	chr3R	31065252	31083407	+	protein_coding	Sox100B
FBgn0031150	803.838218739031	1.18392475036006	0.10512902174161	11.2616357571552	2.02956053311467e-29	6.27061720427679e-27	chrX	21053962	21082391	+	protein_coding	bves
FBgn0052407	192.857775362934	-1.80918611035854	0.160788563821889	-11.2519576477008	2.26508092672559e-29	6.75697072313899e-27	chr3L	5922054	5923567	+	protein_coding	CG32407
FBgn0051092	155.651206370697	1.88859279306863	0.16895337549284	11.1781891753246	5.21430755317851e-29	1.50363248808491e-26	chr3R	25698726	25740465	-	protein_coding	LpR2
FBgn0051363	7311.06808545643	0.927172275287599	0.0836723853396013	11.080982949446	1.55159697395782e-28	4.32995658764808e-26	chr3R	11590385	11619906	-	protein_coding	Jupiter
FBgn0034010	525.879538634805	-1.33217833219648	0.12270928411079	-10.8563776722363	1.85980873542859e-27	5.02787667818523e-25	chr2R	15325502	15326386	-	protein_coding	CG8157
FBgn0283658	1334.55251816393	-1.08367910306833	0.0999715922615896	-10.8398703927085	2.22786452239423e-27	5.84038060097954e-25	chr2L	7426865	7430329	+	protein_coding	muc
FBgn0035147	19507.7643398384	-1.11825963804948	0.105198614990755	-10.6299844170739	2.16148591772593e-26	5.49971019830794e-24	chr3L	648554	651311	+	protein_coding	Gale
FBgn0264437	133.415495049894	2.09104111932299	0.196844459878423	10.6228090981808	2.33428928224982e-26	5.76969616592662e-24	chr2L	8590369	8594489	-	ncRNA	lncRNA:CR43855
FBgn0261673	64.1286595544736	2.2470554515583	0.213557453119739	10.5220184017572	6.83925241718059e-26	1.64351035169526e-23	chr2R	12659496	12670219	-	protein_coding	nemy
FBgn0003748	1082.06931717803	1.03749271046411	0.0990369444547623	10.4758150221205	1.11572353263094e-25	2.60868223805143e-23	chr2R	21074017	21088945	+	protein_coding	Treh
FBgn0001224	583.230032924849	1.34217000564024	0.128413413265621	10.4519455678978	1.43549747371273e-25	3.26802332765495e-23	chr3L	9381881	9382765	+	protein_coding	Hsp23
FBgn0040827	213.809415969489	-1.65967510444639	0.1598827993794	-10.3805732129321	3.03944705940007e-25	6.74211705406923e-23	chr3L	9096876	9097494	+	protein_coding	CG13315
FBgn0037468	2974.70678827496	0.909546840372253	0.0878886848529304	10.3488502745746	4.23541321575821e-25	9.16013993238108e-23	chr3R	7074858	7077981	+	protein_coding	CG1943
FBgn0261596	16579.9400664631	-1.04358662047336	0.101504410490757	-10.2811948311191	8.56590166611416e-25	1.80740525155009e-22	chr2R	22640525	22641419	-	protein_coding	RpS24
FBgn0283437	5777.06499152111	1.36807114883894	0.133508902682052	10.2470406194332	1.22022385404695e-24	2.51337060984767e-22	chr2R	17887219	17889973	-	protein_coding	PPO1
FBgn0037290	69.6307607595817	2.12237979566498	0.211621258873817	10.0291426625077	1.13497792571392e-23	2.28341721752352e-21	chr3R	4965444	4968485	+	protein_coding	CG1124
FBgn0016715	138.411376147527	-1.83167310265055	0.182678217060207	-10.0267734825049	1.16253505900353e-23	2.28570245350898e-21	chr3L	605164	606569	-	protein_coding	Reg-2
FBgn0039109	456.001011959663	-1.24228084459962	0.124338838264427	-9.99109258168962	1.66733711745636e-23	3.20536297847e-21	chr3R	23723330	23731499	+	protein_coding	CG10365
FBgn0063649	584.060230873279	-1.14431181109608	0.119479461623681	-9.57747712908408	9.94443295928452e-22	1.87020194632109e-19	chr3R	16154981	16171766	+	protein_coding	CG6006
FBgn0050147	970.712398694494	-0.93895982156248	0.0981798970311375	-9.56366679896488	1.13656850975982e-21	2.09201152721962e-19	chr2R	20606880	20618217	-	protein_coding	Hil
FBgn0038149	1018.14231283321	1.00595741820942	0.10522935993032	9.55966489652265	1.18138601957294e-21	2.12920217819281e-19	chr3R	13398525	13401862	-	protein_coding	GILT1
FBgn0032405	78.4903385256246	1.87437640521904	0.199330629139497	9.40335368081988	5.28510733447722e-21	9.33091092868621e-19	chr2L	12063456	12066775	-	protein_coding	firl
FBgn0053307	1010.98028776145	-1.29011220936233	0.137642948359822	-9.37288996447355	7.05731846718084e-21	1.22105724119163e-18	chr2L	13839261	13841520	-	protein_coding	CG33307
FBgn0260011	88.6331651653228	1.81583266242326	0.194370016598426	9.34214388721701	9.44029018000323e-21	1.60133235974918e-18	chr2L	14047581	14048863	+	protein_coding	NimC4
FBgn0001137	453.066330601041	-1.25242196670647	0.134174505790471	-9.3342767266255	1.01683106979324e-20	1.69165492015026e-18	chr2L	8431085	8433598	-	protein_coding	grk
FBgn0259715	786.375853648377	-1.54813757071287	0.166448188251087	-9.30101785414154	1.39107528761462e-20	2.27060232323662e-18	chr2L	6395852	6397249	-	protein_coding	CG42369
FBgn0003137	4514.48884653499	0.864673912895088	0.0934196473603626	9.25580364866549	2.12624800280237e-20	3.40632805041543e-18	chr3R	28520664	28540324	-	protein_coding	Ppn
FBgn0261584	177.84495299026	-1.70329563718998	0.185453892186198	-9.18446961188529	4.13560296739008e-20	6.50492750379847e-18	chr2R	22941876	22945147	+	protein_coding	CG42694
FBgn0001225	408.564940985345	1.20994275847355	0.131924821445224	9.17145647967336	4.6667048722558e-20	7.20922568747944e-18	chr3L	9376417	9377427	-	protein_coding	Hsp26
FBgn0031322	393.266829304385	-1.30853897750075	0.142853798262396	-9.15998729762306	5.19034265091648e-20	7.87748320580324e-18	chr2L	1185756	1196807	+	protein_coding	CG5001
FBgn0024315	91.0209207850807	-1.78566025784969	0.195022212912879	-9.1561890883034	5.37624106601682e-20	8.01894163139854e-18	chr2R	16655322	16667675	-	protein_coding	Picot
FBgn0039464	829.742718107917	0.993502112605481	0.108943972197905	9.11938579585392	7.55512809898402e-20	1.10778666414086e-17	chr3R	26949691	26958491	-	protein_coding	CG6330
FBgn0040271	1095.87445796674	0.908968038447822	0.100192347692291	9.07223015912784	1.16605476023156e-19	1.68125662179387e-17	chr3R	16310541	16339575	-	protein_coding	Sulf1
FBgn0051523	4689.99565752754	-0.754901762570457	0.084855840846059	-8.89628521789042	5.77470587427388e-19	8.18966893743334e-17	chr3R	4465420	4479207	-	protein_coding	CG31523
FBgn0033367	15104.0088463228	1.25373226570063	0.141245217475341	8.87628118041946	6.91329434168996e-19	9.64627570160643e-17	chr2R	9042260	9044709	-	protein_coding	PPO2
FBgn0002868	111.797258434109	-1.66092913093461	0.188185979274049	-8.82599828819265	1.08487687064534e-18	1.48972536634172e-16	chr3R	9783406	9784370	-	protein_coding	MtnA
FBgn0000406	263.086148623517	-1.64804400409012	0.188265382446606	-8.75383452163609	2.06223409658001e-18	2.7875604952365e-16	chr2L	16788773	16790721	-	protein_coding	Cyt-b5-r
FBgn0039257	568.174632091314	-1.01809903883214	0.117363277177347	-8.67476661625335	4.14399463252095e-18	5.5153380870675e-16	chr3R	24984383	25022867	+	protein_coding	tnc
FBgn0036985	1903.93933139776	-1.20366613185598	0.13924287551045	-8.64436422648886	5.41057081708353e-18	7.09194668766509e-16	chr3L	20413603	20424309	+	protein_coding	zye
FBgn0261800	37071.3338157107	-0.727411021040989	0.0841737284770721	-8.64178211185129	5.53428978213109e-18	7.14584192615165e-16	chr2L	7811437	7820771	+	protein_coding	LanB1
FBgn0265276	151.2594530435	1.53520578044312	0.177871100483266	8.6310017550465	6.08169508162216e-18	7.73716825751667e-16	chr3R	11765037	11779128	-	protein_coding	l(3)neo38
FBgn0001258	1507.25670392075	0.857386051900146	0.0997881528734647	8.59206255663781	8.54218572382753e-18	1.07099201009901e-15	chr3L	6259104	6262694	-	protein_coding	Ldh
FBgn0030237	1966.72530106885	-0.895737281024274	0.104482249291592	-8.5731048775991	1.00731691731339e-17	1.2448998073826e-15	chrX	10842204	10842995	+	protein_coding	CG15209
FBgn0262057	726.434535497277	-0.933892592321338	0.109642407878651	-8.51762206239526	1.62862665143151e-17	1.98440129035689e-15	chr3L	20317189	20320116	+	protein_coding	Spn77Ba
FBgn0031449	951.991001671026	-0.842199833348397	0.0999260642583112	-8.42822980770354	3.50933364528588e-17	4.21656185630114e-15	chr2L	2725673	2739830	+	protein_coding	CG31689
FBgn0063498	325.89377303059	-1.22029709133293	0.14501635955019	-8.41489260327615	3.93255032921281e-17	4.66034149287946e-15	chr2R	18399485	18400375	+	protein_coding	GstE2
FBgn0032004	957.687599856007	-1.0796235132043	0.129087001041	-8.3635339305884	6.08670118474068e-17	7.11568269583671e-15	chr2L	8216850	8218017	-	protein_coding	CG8292
FBgn0267992	391.831546479157	-1.51526386501954	0.181528568291091	-8.34724737425203	6.98722729150988e-17	8.05953377318027e-15	chr2L	500872	502236	-	ncRNA	lncRNA:CR46259
FBgn0033635	2555.50758920745	1.07742629176009	0.12911279303626	8.34484535903043	7.13071291092789e-17	8.11681544637332e-15	chr2R	11436242	11442216	+	protein_coding	Prip
FBgn0031327	754.77772544817	1.10540627200651	0.132817306286591	8.32275780101485	8.59399375550442e-17	9.65540778946348e-15	chr2L	1240035	1243018	+	protein_coding	CG5397
FBgn0051642	105.814150926438	1.55660171255802	0.188547065905077	8.25577266390174	1.50922655017708e-16	1.67388703661307e-14	chr2L	6118511	6120522	+	protein_coding	CG31642
FBgn0030041	83.4773128346127	-1.80867124493032	0.219768405387393	-8.22989656653384	1.8737516678338e-16	2.05187666815572e-14	chrX	8467442	8469012	-	protein_coding	CG12116
FBgn0037239	762.656540125849	-0.862554076465502	0.104957103243678	-8.21815817899358	2.06652287144261e-16	2.23468617010626e-14	chr3R	4378599	4381210	+	protein_coding	Sfxn1-3
FBgn0039479	172.821357539012	1.29487694825952	0.158343738821786	8.17763277471228	2.8947438426449e-16	3.09165789910136e-14	chr3R	27075869	27082818	+	protein_coding	CG14257
FBgn0051038	694.926931057245	-0.915195282979062	0.112300866566308	-8.1494943980569	3.65448961685807e-16	3.85548654578526e-14	chr3R	29877058	29903231	+	protein_coding	CG31038
FBgn0263232	301.536196788606	1.16272451577371	0.143169363013412	8.1213221271704	4.61132289968547e-16	4.80633185604566e-14	chr3L	13965202	13973067	+	protein_coding	Nxf3
FBgn0037153	131.082272175729	1.43571983301967	0.177581459193898	8.08485209850669	6.22396820287491e-16	6.40994630036558e-14	chr3L	22136089	22247702	+	protein_coding	olf413
FBgn0031805	3023.09177383706	-0.869189655140462	0.107637300093869	-8.07517147292298	6.73818884741514e-16	6.85789079046922e-14	chr2L	6367881	6370190	+	protein_coding	Nepl4
FBgn0024491	870.622745651466	0.974294812707128	0.121431692080593	8.02339814272289	1.0285928087642e-15	1.0346926033278e-13	chr3R	16186155	16189564	-	protein_coding	Bin1
FBgn0034885	161.413779412121	1.33897671579947	0.169470258025269	7.90095401636683	2.76776755137602e-15	2.75217897551195e-13	chr2R	23607591	23614710	-	protein_coding	Eglp4
FBgn0052521	2940.91502601438	-0.809010228079372	0.102634840966703	-7.88241322790018	3.21118004833355e-15	3.15680893160609e-13	chrX	21205309	21281171	-	protein_coding	CG32521
FBgn0034389	114.90357820749	-1.53727060248354	0.196525223350263	-7.82225597445928	5.18849678065494e-15	5.04333546622987e-13	chr2R	18761757	18774824	+	protein_coding	Mctp
FBgn0000116	643.215027620601	1.06963000707723	0.138183880212561	7.74062796204501	9.89269809051302e-15	9.50908124233646e-13	chr3L	9048780	9066027	-	protein_coding	Argk
